id,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),LII,BII,AngSep(deg),Theta95(deg),Redshift,SED Class,Log nuSync.(Hz),Log nuSync.Z corr.(Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Flux 1-100 GeV Error,Spectral Index,Spectral Type,Power Law Index,Radio flux(mJy),Radio flag,X Flux(erg cm-2 s-1),USNOVmag,SDSSVmag,ARO,AOX,CLEAN
1,3FGL J0001.2-0748,PMN J0001-0746,5BZBJ0001-0746,bll,0.325103733,-7.774145247,89.08,-67.29,0.042,0.075,0.000,ISP,14.486,14.486,1,0.86,0.000,11.25,0.00000000069521899,8.96e-11,2.1493,PowerLaw,2.15,209.1692,nvss,8.10e-13,17.6118,17.21,0.4962,1.3808,Y
2,3FGL J0001.4+2120,TXS 2358+209,, fsrq,0.385020884,21.2267929,107.65,-40.16,0.113,0.199,1.106,ISP,14.163,14.486,0.92,0.000,0.000,11.35,0.00000000029448677,7.58e-11,2.3051,LogParabola,2.78,217.8677,nvss,2.31e-12,18.7142,18.42,0.625,0.9186,Y
3,3FGL J0002.2-4152,1RXS J000135.5-415519,, bcu II,0.386415285,-41.92366916,334.32,-72.04,0.137,0.174,-999,HSP,15.8,15.8,0.97,0.000,0.000,5.16,0.00000000027140307,6.10e-11,2.0889,PowerLaw,2.09,13.2,wise/sumss,0.000,18.4274,0.000,0.3349,1.0708,Y
4,3FGL J0003.2-5246,RBS 0006,, bcu II,0.831208332,-52.7910278,318.94,-62.82,0.017,0.065,0.000,HSP,16.85,16.85,1,0.000,0.9,5.67,0.00000000025903737,6.53e-11,1.8952,PowerLaw,1.9,65.3,sumss,4.85e-12,18.8131,0.000,0.5164,0.8559,Y
5,3FGL J0003.8-1151,PMN J0004-1148,5BZBJ0004-1148,bcu II,1.020479133,-11.81621827,84.66,-71.08,0.076,0.114,0.000,LSP,12.515,12.515,0.99,0.87,0.000,4.18,0.00000000023389926,6.33e-11,2.0235,PowerLaw,2.02,459.597,nvss,0.000,18.575,0.000,0.7417,-9.9,N
6,3FGL J0003.8-1151,PKS 0001-121,, bcu I,0.928482077,-11.8637214,84.35,-71.07,0.03,0.114,1.30999,-,0.000,0.000,0.99,0.87,0.000,4.18,0.00000000023389926,6.33e-11,2.0235,PowerLaw,2.02,352.4785,nvss,0.000,17.4233,0.000,0.529,-9.9,N
7,3FGL J0004.7-4740,PKS 0002-478,5BZQJ0004-4736,fsrq,1.148564588,-47.6054455,323.94,-67.57,0.069,0.084,0.88,LSP,13.145,13.419,0.99,0.93,0.000,14.52,0.00000000069288186,8.13e-11,2.4035,PowerLaw,2.4,932.9,sumss,1.49e-12,17.2964,0.000,0.6701,1.161,Y
8,3FGL J0006.4+3825,S4 0003+38,5BZQJ0005+3820,fsrq,1.4882308,38.33754137,113.21,-23.68,0.126,0.179,0.229,LSP,13.145,13.235,0.99,0.84,0.000,10.55,0.00000000060568678,8.90e-11,2.6171,PowerLaw,2.62,572.7561,nvss,0.000,17.7239,0.000,0.6481,1.3606,Y
9,3FGL J0008.0+4713,MG4 J000800+4712,5BZBJ0007+4712,bll,1.999888613,47.20215794,115.31,-15.03,0.028,0.031,2.1,HSP,15.4,15.891,1,0.84,0.84,24.74,0.0000000019663688,1.29e-10,2.021,PowerLaw,2.02,60.8634,nvss,1.48e-12,18.283,0.000,0.4086,1.1395,Y
10,3FGL J0008.6-2340,RBS 0016,5BZBJ0008-2339,bll,2.14749865,-23.65777998,50.31,-79.73,0.028,0.07,0.147,ISP,14.72,14.78,1,0.000,0.89,6.66,0.0000000002284548,6.37e-11,1.5989,PowerLaw,1.6,36.2558,nvss,4.71e-12,16.6408,0.000,0.4165,0.951,Y
11,3FGL J0009.1+0630,CRATES J000903.95+062821.5,5BZBJ0009+0628,bll,2.26638275,6.472566569,104.42,-54.87,0.043,0.06,0.000,LSP,13.44,13.44,0.99,0.87,0.8,8.97,0.00000000054901528,8.46e-11,2.1794,PowerLaw,2.18,247.0644,nvss,1.30e-12,18.7042,18.11,0.625,1.1443,N
12,3FGL J0009.1+0630,GB6 J0009+0625,5BZQJ0009+0625,bll,2.32106318333,6.43187437778,104.49,-54.93,0.078,0.06,0.000,ISP,14.822,14.822,0.93,0.000,0.000,8.97,0.00000000054901528,8.46e-11,2.1794,PowerLaw,2.18,180.0831,nvss,0.000,19.4921,19.2,0.7395,1.3039,N
13,3FGL J0009.3+5030,NVSS J000922+503028,5BZBJ0009+5030,bll,2.344833529,50.50801062,116.12,-11.81,0.007,0.02,0.000,HSP,15.15,15.15,1,0.85,0.000,36.49,0.0000000030936393,1.49e-10,1.9286,PowerLaw,1.93,12.2673,nvss,0.000,0.000,0.000,-9.9,-9.9,Y
14,3FGL J0009.6-3211,IC 1531,, bcu I,2.398157371,-32.27692485,0.88,-79.57,0.078,0.141,0.025,ISP,14.645,14.656,0.96,0.85,0.000,5.54,0.00000000027656774,6.16e-11,2.3097,PowerLaw,2.31,388.8466,nvss,5.01e-13,8.91,0.000,-0.088,2.7538,N
15,3FGL J0013.2-3954,PKS 0010-401,5BZBJ0012-3954,bll,3.249624337,-39.90723724,332.46,-74.95,0.042,0.054,0.000,LSP,12.27,12.27,1,0.92,0.000,12.02,0.00000000060675814,7.77e-11,2.2118,PowerLaw,2.21,494.6114,nvss,0.000,18.09,0.000,0.7429,-9.9,Y
16,3FGL J0013.9-1853,RBS 0030,5BZGJ0013-1854,bll,3.483512921,-18.90186098,74.63,-78.09,0.009,0.06,0.0944,HSP,16.721,16.76,1,0.000,0.94,5.58,0.00000000023734373,5.93e-11,1.9352,PowerLaw,1.94,29.6284,nvss,1.26e-11,12.946,0.000,-0.0068,1.5816,Y
17,3FGL J0014.0-5025,RBS 0032,5BZBJ0014-5022,bll,3.54675,-50.37575,317.45,-65.7,0.056,0.079,0.000,HSP,16.925,16.925,1,0.000,0.91,5.65,0.00000000024451646,5.80e-11,1.9239,PowerLaw,1.92,15.1,sumss,1.23e-11,19.0598,0.000,0.5212,0.4332,Y
18,3FGL J0016.3-0013,S3 0013-00,5BZQJ0016-0015,fsrq,4.046202296,-0.253457047,104,-61.83,0.04,0.107,1.577,LSP,12.402,12.813,1,0.93,0.000,13.63,0.00000000064111161,8.50e-11,2.6179,PowerLaw,2.62,1085.7144,nvss,0.000,19.9864,19.12,0.8325,1.2027,Y
19,3FGL J0017.2-0643,PMN J0017-0650,, bcu II,4.28913025,-6.84304379,99.51,-68.15,0.12,0.114,0.000,LSP,13.67,13.67,0.81,0.000,0.000,6.22,0.00000000038799491,7.60e-11,2.1162,PowerLaw,2.12,93.9766,nvss,0.000,18.6043,18.31,0.5167,-9.9,Y
20,3FGL J0017.6-0512,PMN J0017-0512,5BZQJ0017-0512,fsrq,4.399238408,-5.211602058,101.24,-66.65,0.008,0.068,0.227,LSP,13.6,13.689,1,0.88,0.84,12,0.00000000079522233,9.66e-11,2.5063,PowerLaw,2.51,178.4389,nvss,1.74e-12,18.0884,17.02,0.5423,1.2375,Y
21,3FGL J0018.4+2947,RBS 0042,5BZBJ0018+2947,bll,4.615790258,29.79199,114.44,-32.54,0.011,0.078,0.1,HSP,16.772,16.813,1,0.000,0.93,4.96,0.00000000021357462,6.35e-11,1.8645,PowerLaw,1.86,33.804,nvss,1.43e-11,17.4709,18.04,0.4272,0.6289,Y
22,3FGL J0018.9-8152,PMN J0019-8152,5BZBJ0019-8152,bll,4.836017346,-81.88094733,304.31,-35.17,0.013,0.054,0.000,HSP,15.144,15.144,1,0.82,0.91,10.65,0.00000000065296818,8.74e-11,2.0754,PowerLaw,2.08,87,sumss,4.99e-12,16.3476,0.000,0.3089,1.2686,Y
23,3FGL J0019.1-5645,PMN J0019-5641,, bcu II,4.860883283,-56.69512688,311.69,-59.89,0.066,0.108,0.000,LSP,12.83,12.83,0.99,0.000,0.000,6.8,0.00000000028565708,5.81e-11,2.3909,PowerLaw,2.39,60.6,sumss,0.000,21.3089,0.000,0.7413,-9.9,Y
